,Unnamed: 0,Imo,RecievedTime,FinishedRecievedTime,Latitude,Longitude,NavStatus,SailTime,name,type,built,dwt,loa,beam,status,flagState,holdsTotal,hatchesToNo,shipBuilder,shipBuilderCountry,draughtMeters,lastHullSurveyDate,hullSurveyDueDate
1448,1448,9717163,2019-04-08 23:59:33+00:00,2019-04-26 14:14:37+00:00,-34.75625833333333,18.43808,0,422.25111111111113,Tong Ying,Bulk Carrier,2018,81610,229.0,32.26,In Service,Singapore,7.0,7.0,CMJL (Nanjing),China P.R.,14.5,1/29/2018,1/28/2023
1449,1449,9717163,2019-08-06 23:56:02+00:00,2019-08-25 14:17:29+00:00,-35.539515,22.360235,0,446.3575,Tong Ying,Bulk Carrier,2018,81610,229.0,32.26,In Service,Singapore,7.0,7.0,CMJL (Nanjing),China P.R.,14.5,1/29/2018,1/28/2023
1450,1450,9717163,2019-11-29 15:55:42+00:00,2019-12-17 15:34:22+00:00,-35.31162833333333,18.490058333333334,0,431.6444444444445,Tong Ying,Bulk Carrier,2018,81610,229.0,32.26,In Service,Singapore,7.0,7.0,CMJL (Nanjing),China P.R.,14.5,1/29/2018,1/28/2023
1451,1451,9717175,2019-12-08 07:46:22+00:00,2019-12-26 23:59:30+00:00,-35.99723333333333,20.537996666666672,0,448.21888888888884,Yun Tong,Bulk Carrier,2018,81604,229.0,32.26,In Service,Singapore,7.0,7.0,CMJL (Nanjing),China P.R.,14.5,8/27/2018,8/26/2023
1452,1452,9717333,2019-09-06 15:59:20+00:00,2019-09-25 20:35:11+00:00,-34.985276666666664,18.461753333333334,0,460.5975,Explorer Oceania,Bulk Carrier,2015,81073,229.0,32.26,In Service,Hong Kong,7.0,7.0,Jiangsu New Hantong,China P.R.,14.45,12/18/2015,12/17/2020
1453,1453,9717345,2019-06-09 14:06:31+00:00,2019-06-24 07:53:53+00:00,5.763118333333333,94.422195,0,353.78944444444437,Western Monaco,Bulk Carrier,2016,81112,229.0,32.26,In Service,Philippines,7.0,7.0,Jiangsu New Hantong,China P.R.,14.45,02/03/2016,02/02/2021
1454,1454,9717424,2019-12-03 07:53:47+00:00,2019-12-21 04:50:37+00:00,-35.180508333333336,19.197055,0,428.9472222222222,Kypros Loyalty,Bulk Carrier,2015,77998,225.0,32.2,In Service,Cyprus,7.0,7.0,Sasebo HI,Japan,14.4,7/22/2020,6/17/2025
1455,1455,9717424,2020-01-29 12:56:48+00:00,2020-02-12 23:54:11+00:00,4.196326666666667,92.44055666666668,0,346.95638888888885,Kypros Loyalty,Bulk Carrier,2015,77998,225.0,32.2,In Service,Cyprus,7.0,7.0,Sasebo HI,Japan,14.4,7/22/2020,6/17/2025
1456,1456,9717436,2019-07-17 07:58:14+00:00,2019-08-04 15:06:14+00:00,-35.25680833333333,18.561756666666668,0,439.13333333333327,Kypros Spirit,Bulk Carrier,2016,77998,225.0,32.2,Idle,Cyprus,7.0,7.0,Sasebo HI,Japan,14.4,07/05/2016,07/04/2021
1457,1457,9717682,2019-08-23 15:59:36+00:00,2019-09-09 01:37:31+00:00,-35.048856666666666,18.511043333333333,0,393.6319444444445,Alcor,Bulk Carrier,2015,81600,229.0,32.25,In Service,Marshall Is.,7.0,7.0,CSC Jinling Shipyard,China P.R.,14.45,6/17/2020,9/15/2025
1458,1458,9717682,2020-01-29 00:46:33+00:00,2020-02-13 15:55:34+00:00,5.850555,94.40256,0,375.1502777777778,Alcor,Bulk Carrier,2015,81600,229.0,32.25,In Service,Marshall Is.,7.0,7.0,CSC Jinling Shipyard,China P.R.,14.45,6/17/2020,9/15/2025
1459,1459,9717694,2019-09-09 23:52:47+00:00,2019-09-28 12:18:05+00:00,-35.06661833333333,17.93553,0,444.42166666666674,Argonaut,Bulk Carrier,2016,81117,229.0,32.25,In Service,Marshall Is.,7.0,7.0,CSC Jinling Shipyard,China P.R.,14.45,01/05/2016,01/05/2021
1460,1460,9717709,2019-06-04 23:53:35+00:00,2019-06-21 23:18:55+00:00,-35.933355,20.84231,0,407.4222222222222,Salaminian,Bulk Carrier,2014,81565,229.0,32.26,In Service,Cyprus,7.0,7.0,Guangzhou Longxue,China P.R.,14.45,8/17/2019,9/15/2024
1461,1461,9717709,2019-08-28 14:51:10+00:00,2019-09-11 23:56:25+00:00,4.320119999999998,92.64986166666668,0,345.0875,Salaminian,Bulk Carrier,2014,81565,229.0,32.26,In Service,Cyprus,7.0,7.0,Guangzhou Longxue,China P.R.,14.45,8/17/2019,9/15/2024
1462,1462,9717709,2019-10-23 15:38:01+00:00,2019-11-08 14:14:39+00:00,-35.15492666666667,19.533295000000006,0,382.61055555555566,Salaminian,Bulk Carrier,2014,81565,229.0,32.26,In Service,Cyprus,7.0,7.0,Guangzhou Longxue,China P.R.,14.45,8/17/2019,9/15/2024
1463,1463,9717981,2019-06-09 07:51:58+00:00,2019-06-28 20:03:28+00:00,-34.66330166666667,18.012591666666665,0,468.19166666666666,CYL,Bulk Carrier,2017,81212,229.0,32.26,In Service,Liberia,7.0,7.0,CSC Jinling Shipyard,China P.R.,14.45,1/20/2017,1/19/2022
1464,1464,9717981,2019-09-30 15:40:16+00:00,2019-10-19 19:02:26+00:00,-35.10503833333333,18.55746,0,459.3694444444445,CYL,Bulk Carrier,2017,81212,229.0,32.26,In Service,Liberia,7.0,7.0,CSC Jinling Shipyard,China P.R.,14.45,1/20/2017,1/19/2022
1465,1465,9717981,2019-11-18 07:50:39+00:00,2019-12-02 07:42:47+00:00,4.090186666666667,92.02556666666666,0,335.8688888888889,CYL,Bulk Carrier,2017,81212,229.0,32.26,In Service,Liberia,7.0,7.0,CSC Jinling Shipyard,China P.R.,14.45,1/20/2017,1/19/2022
1466,1466,9718002,2019-06-05 23:45:16+00:00,2019-06-22 10:15:37+00:00,-35.010693333333336,18.72217833333333,0,394.50583333333327,Menaro,Bulk Carrier,2016,81061,229.0,32.26,In Service,Liberia,7.0,7.0,CSC Jinling Shipyard,China P.R.,14.5,1/13/2016,01/12/2021
1467,1467,9718002,2020-01-04 07:57:49+00:00,2020-01-17 21:03:47+00:00,-35.678801666666665,29.35851666666667,0,325.09944444444443,Menaro,Bulk Carrier,2016,81061,229.0,32.26,In Service,Liberia,7.0,7.0,CSC Jinling Shipyard,China P.R.,14.5,1/13/2016,01/12/2021
1468,1468,9718686,2019-04-24 15:43:03+00:00,2019-05-11 14:28:44+00:00,-34.885421666666666,18.713698333333333,0,406.76138888888886,Vulcania,Bulk Carrier,2015,82036,229.0,32.26,Idle,Marshall Is.,7.0,7.0,Jiangsu New YZJ,China P.R.,14.45,8/31/2015,11/30/2020
1469,1469,9718686,2019-10-08 01:42:22+00:00,2019-10-21 23:58:46+00:00,4.7924983333333335,92.94779333333334,0,334.2733333333333,Vulcania,Bulk Carrier,2015,82036,229.0,32.26,Idle,Marshall Is.,7.0,7.0,Jiangsu New YZJ,China P.R.,14.45,8/31/2015,11/30/2020
1470,1470,9718686,2020-01-07 18:47:31+00:00,2020-01-24 15:43:55+00:00,6.1738050000000015,95.52303,0,404.94,Vulcania,Bulk Carrier,2015,82036,229.0,32.26,Idle,Marshall Is.,7.0,7.0,Jiangsu New YZJ,China P.R.,14.45,8/31/2015,11/30/2020
1471,1471,9718698,2019-11-07 15:52:14+00:00,2019-11-26 22:36:44+00:00,-35.21791333333333,19.415395,0,462.74166666666673,Greek Seas,Bulk Carrier,2015,82043,229.0,32.26,In Service,Liberia,7.0,7.0,Jiangsu New YZJ,China P.R.,14.45,10/26/2015,10/26/2025
1472,1472,9718739,2019-06-21 15:54:59+00:00,2019-07-09 20:26:29+00:00,-35.11499833333333,19.230365,0,436.525,Arsinoe,Bulk Carrier,2015,81565,229.0,32.26,In Service,Cyprus,7.0,7.0,Guangzhou Longxue,China P.R.,14.45,10/15/2020,1/25/2025
1473,1473,9718739,2019-08-18 06:31:44+00:00,2019-09-01 15:16:46+00:00,2.8898816666666667,92.55961166666668,0,344.7505555555556,Arsinoe,Bulk Carrier,2015,81565,229.0,32.26,In Service,Cyprus,7.0,7.0,Guangzhou Longxue,China P.R.,14.45,10/15/2020,1/25/2025
1474,1474,9718739,2019-10-07 15:51:27+00:00,2019-10-24 14:58:49+00:00,-34.81077,19.007903333333328,0,407.1227777777778,Arsinoe,Bulk Carrier,2015,81565,229.0,32.26,In Service,Cyprus,7.0,7.0,Guangzhou Longxue,China P.R.,14.45,10/15/2020,1/25/2025
1475,1475,9718961,2019-07-12 07:59:22+00:00,2019-07-31 04:31:25+00:00,-34.469516666666664,17.788966666666667,0,452.5341666666667,K. Western Dream,Bulk Carrier,2016,82048,229.0,32.26,In Service,Panama,7.0,7.0,Jiangsu New YZJ,China P.R.,14.47,03/03/2016,03/02/2021
1476,1476,9719563,2019-06-09 07:57:47+00:00,2019-06-29 07:50:25+00:00,-35.03474166666667,19.313188333333333,0,479.8772222222222,SBI Macarena,Bulk Carrier,2016,81198,229.0,32.26,Idle,Liberia,7.0,7.0,Hudong Zhonghua,China P.R.,14.45,12/05/2016,12/05/2021
1477,1477,9719587,2020-02-01 15:57:42+00:00,2020-02-15 07:51:29+00:00,2.35563,89.80915833333331,0,327.8963888888889,SBI Jive,Bulk Carrier,2017,81252,229.0,32.26,In Service,Liberia,7.0,7.0,Hudong Zhonghua,China P.R.,14.45,04/05/2017,04/05/2022
1478,1478,9720926,2019-07-29 23:58:31+00:00,2019-08-16 01:48:32+00:00,-35.13738833333333,19.279513333333334,0,409.83361111111117,TR Lady,Bulk Carrier,2017,82048,229.0,32.26,In Service,Marshall Is.,7.0,7.0,Jiangsu New YZJ,China P.R.,14.47,1/23/2017,1/22/2022
1479,1479,9723631,2019-06-04 15:51:19+00:00,2019-06-23 16:23:31+00:00,-34.80912166666667,19.039805,0,456.5366666666667,Perseus,Bulk Carrier,2015,81210,229.0,32.26,Repairs,Panama,7.0,7.0,Hudong Zhonghua,China P.R.,14.45,11/01/2015,11/01/2020
1480,1480,9723849,2019-09-13 15:44:55+00:00,2019-10-03 13:29:55+00:00,-34.864975,18.279605,0,477.75,Jag Ajay,Bulk Carrier,2016,82094,229.0,32.26,In Service,India,7.0,7.0,Jiangsu New YZJ,China P.R.,14.45,6/30/2016,6/29/2021
