,Unnamed: 0,Imo,RecievedTime,Latitude,Longitude,NavStatus,FullWaitTime,UnderwayCount,WaitingCount,MooredCount,OtherCount,FinishedCount,name,type,built,dwt,loa,beam,status,flagState,holdsTotal,hatchesToNo,shipBuilder,shipBuilderCountry,draughtMeters,lastHullSurveyDate,hullSurveyDueDate
1299,1299,9591131,2020-01-13 15:59:04+00:00,-20.122745,118.53904333333334,1,18 days 07:58:56.000000000,62,21,28,0,2300,PSU Eighth,Ore Carrier,2013,262779,328.05,57.0,In Service,Singapore,5.0,5.0,Hyundai Samho HI,South Korea,18.83,04/06/2018,3/31/2023
1300,1300,9591739,2019-07-24 07:59:49+00:00,-20.106031666666667,118.59239,0,0 days 07:59:37.000000000,62,21,27,0,949,Aquamarie,Bulk Carrier,2012,178896,292.0,45.0,In Service,Liberia,9.0,9.0,Sungdong SB,South Korea,18.32,04/02/2017,04/01/2022
1301,1301,9592783,2019-11-15 23:57:15+00:00,-20.083246666666668,118.6175,1,1 days 16:02:28.000000000,67,19,29,0,1821,Attikos,Bulk Carrier,2012,178929,292.0,45.0,In Service,Liberia,9.0,9.0,Sungdong SB,South Korea,18.32,01/05/2017,01/04/2022
1302,1302,9592783,2019-12-23 15:58:15+00:00,-20.126243333333328,118.52779833333334,1,3 days 07:59:49.000000000,63,24,29,0,2134,Attikos,Bulk Carrier,2012,178929,292.0,45.0,In Service,Liberia,9.0,9.0,Sungdong SB,South Korea,18.32,01/05/2017,01/04/2022
1303,1303,9592783,2020-01-31 23:55:58+00:00,-20.121616666666668,118.51731666666667,1,10 days 00:02:34.000000000,34,36,25,0,2432,Attikos,Bulk Carrier,2012,178929,292.0,45.0,In Service,Liberia,9.0,9.0,Sungdong SB,South Korea,18.32,01/05/2017,01/04/2022
1304,1304,9592800,2019-11-21 07:58:23+00:00,-20.109918333333333,118.54113,1,1 days 07:58:43.000000000,66,18,26,0,1868,Aquaexplorer,Bulk Carrier,2012,178929,292.0,45.0,Idle,Liberia,9.0,9.0,Sungdong SB,South Korea,18.32,5/25/2017,06/12/2022
1305,1305,9593062,2019-05-10 15:57:36+00:00,-20.12771333333333,118.522145,1,4 days 08:00:56.000000000,43,17,25,0,348,Cape Globe,Bulk Carrier,2012,206095,299.85,50.01,In Service,Singapore,9.0,9.0,Shanghai Waigaoqiao,China P.R.,18.47,10/05/2017,10/30/2022
1306,1306,9593062,2019-06-20 23:57:28+00:00,-20.121383333333334,118.574175,1,5 days 07:59:33.000000000,73,30,31,0,688,Cape Globe,Bulk Carrier,2012,206095,299.85,50.01,In Service,Singapore,9.0,9.0,Shanghai Waigaoqiao,China P.R.,18.47,10/05/2017,10/30/2022
1307,1307,9593220,2019-09-23 15:59:29+00:00,-20.081081666666666,118.62239333333332,1,1 days 15:59:35.000000000,61,31,31,0,1428,Maran Nobility,Bulk Carrier,2013,205938,299.92,50.0,In Service,Greece,9.0,9.0,Shanghai Waigaoqiao,China P.R.,18.4,11/01/2018,7/24/2023
1308,1308,9593220,2020-01-08 07:59:56+00:00,-20.078955,118.51215166666668,0,2 days 15:57:15.000000000,64,23,29,0,2255,Maran Nobility,Bulk Carrier,2013,205938,299.92,50.0,In Service,Greece,9.0,9.0,Shanghai Waigaoqiao,China P.R.,18.4,11/01/2018,7/24/2023
