,Imo,RecievedTime,Latitude,Longitude,NavStatus,Status
10407,9271559, 2019-04-03T07:59:41Z,-20.12447333333333,118.565345,1, anchorage
10408,9271559, 2019-04-03T13:29:50Z,-20.12350333333333,118.56901,1, anchorage
10409,9271559, 2019-04-03T23:00:07Z,-20.122065,118.56940833333331,1, anchorage
10410,9271559, 2019-04-04T07:57:21Z,-20.122410000000002,118.56405166666669,1, anchorage
10411,9271559, 2019-04-04T15:30:34Z,-20.121431666666666,118.56931833333331,1, anchorage
10412,9271559, 2019-04-04T23:57:49Z,-20.123328333333333,118.56901666666668,1, anchorage
10413,9271559, 2019-04-05T07:58:02Z,-20.121441666666666,118.56405500000001,1, anchorage
10414,9271559, 2019-04-05T15:58:15Z,-20.12065,118.568835,1, anchorage
10415,9271559, 2019-04-05T23:58:28Z,-20.12335,118.56891,1, anchorage
10416,9271559, 2019-04-06T07:59:13Z,-20.319703333333333,118.57803999999999,5, moored
10417,9271559, 2019-04-06T15:59:26Z,-20.31966333333333,118.578065,5, moored
10418,9271559, 2019-04-06T23:59:39Z,-20.319658333333333,118.57806000000001,5, moored
10419,9271559, 2019-04-07T07:59:53Z,-20.319656666666667,118.57801666666668,5, moored
10420,9271559, 2019-04-07T15:59:29Z,-20.319705,118.57800333333331,0, moored
10434,9271559, 2019-05-12T23:55:48Z,-20.081631666666667,118.57395,1, anchorage
10435,9271559, 2019-05-13T07:08:00Z,-20.08462,118.575465,1, anchorage
10436,9271559, 2019-05-13T15:59:14Z,-20.080743333333334,118.57473333333333,1, anchorage
10437,9271559, 2019-05-13T23:26:26Z,-20.081075,118.57396166666666,1, anchorage
10438,9271559, 2019-05-14T06:14:40Z,-20.084210000000002,118.57530333333334,1, anchorage
10439,9271559, 2019-05-14T23:21:08Z,-20.08103,118.57398833333332,1, anchorage
10440,9271559, 2019-05-15T07:48:20Z,-20.084491666666672,118.57566333333334,1, anchorage
10441,9271559, 2019-05-15T15:57:33Z,-20.07980833333333,118.57511000000001,1, anchorage
10442,9271559, 2019-05-15T23:54:47Z,-20.080618333333334,118.57836833333332,1, anchorage
10443,9271559, 2019-05-16T07:49:01Z,-20.084335,118.575515,1, anchorage
10444,9271559, 2019-05-16T15:58:15Z,-20.079616666666666,118.57567166666666,1, anchorage
10445,9271559, 2019-05-16T23:58:28Z,-20.082105,118.57948666666668,1, anchorage
10446,9271559, 2019-05-17T07:58:41Z,-20.08274,118.57470166666668,1, anchorage
10447,9271559, 2019-05-17T15:58:55Z,-20.079561666666667,118.57731000000001,1, anchorage
10448,9271559, 2019-05-17T23:47:11Z,-20.081966666666666,118.57402166666668,1, anchorage
10449,9271559, 2019-05-18T07:59:21Z,-20.080851666666668,118.57426166666669,1, anchorage
10450,9271559, 2019-05-18T15:59:35Z,-20.079428333333333,118.57606333333334,1, anchorage
10451,9271559, 2019-05-18T23:59:48Z,-20.083431666666666,118.57928999999999,1, anchorage
10452,9271559, 2019-05-19T07:57:01Z,-20.080358333333333,118.574405,1, anchorage
10453,9271559, 2019-05-19T15:57:14Z,-20.079308333333334,118.577975,1, anchorage
10454,9271559, 2019-05-19T23:57:28Z,-20.083345,118.57957666666668,1, anchorage
10455,9271559, 2019-05-20T07:57:48Z,-20.324325,118.58415666666669,5, moored
