Latitude,Longitude,FullWaitTime,WaitingCount,MooredCount,type,built,dwt,loa,beam,draughtMeters
-20.12945,118.5238167,16.00722222,23,23,1,2011,35009,175.6,28.4,10.42
-20.12749333,118.5206083,16.0075,21,29,1,2012,206079,299.92,50,18.4
-20.11935667,118.57677,16.00805556,26,22,3,2011,17294,142.92,21.5,9.69
-20.09285667,118.5344417,16.00805556,21,23,1,2017,178361,292,45,16.5
-20.12148667,118.54133,16.00805556,18,27,1,2012,203027,299.95,49,18.35
-20.08045167,118.5090783,16.00972222,38,25,1,2015,209529,300,50,18.4
-20.06349833,118.6041267,16.01,25,22,2,2015,250993,329.95,57,18.02
-20.134115,118.509665,16.01055556,23,31,1,2009,169031,287.5,45,17.7
-20.12800667,118.5123667,16.01055556,20,29,1,2014,207811,300,50,18.2
-20.106435,118.510425,16.01083333,19,38,1,2015,80866,229,32.26,14.45
-20.091935,118.53571,16.01083333,32,29,2,2016,260840,327,57,18.8
-20.15197833,118.53579,16.01083333,26,26,2,2017,261085,327,57,18.8
-20.08126333,118.5429867,16.01166667,35,32,1,2017,207812,299.88,50,18.5
-20.10956833,118.5828833,16.01305556,21,29,1,2016,209200,299.95,50,18.4
-20.08410167,118.5851883,16.01333333,41,22,2,2011,250847,329.95,57,18.02
-20.1251,118.5295667,16.01388889,18,31,1,2011,115488,254,43,14.5
-20.153945,118.541565,16.01388889,39,28,2,2018,261064,327,57,18.8
-20.11872,118.5766217,16.01416667,20,30,1,2012,180643,291.9,45,18.07
-20.08597833,118.52677,16.01416667,13,31,2,2010,228990,324.99,52.5,18.1
-20.13900667,118.5097267,16.01416667,36,24,1,2010,179701,292,45,18.2
-20.095065,118.5951,16.01444444,42,9,1,2010,114841,255.28,43,14.5
-20.120865,118.5683967,16.01472222,18,25,1,2013,207422,300,50,18.2
-20.09475,118.5884667,16.01555556,31,27,1,2010,180079,295,46,18.1
-20.0781,118.539055,16.01611111,19,24,2,2010,228990,324.99,52.5,18.1
-20.151135,118.5221517,16.01861111,35,38,3,2011,45996,181.54,32.2,12.17
-20.06565,118.62065,16.01861111,16,31,1,2009,178369,292,44.98,17.98
-20.098385,118.5242617,16.01861111,37,11,1,2011,179191,292,45,18.32
-20.13387667,118.534245,16.01861111,21,39,2,2017,261085,327,57,18.8
-20.10305167,118.510285,16.01916667,28,36,1,2014,207811,300,50,18.2
-20.10734,118.5645283,16.01944444,21,36,1,2011,180694,291.9,45,18.07
-20.1031,118.5297167,16.02,21,40,1,2008,180180,288.93,45,18.17
