Imo,RecievedTime,Latitude,Longitude,NavStatus,FullWaitTime,WaitingCount,MooredCount,type,built,dwt,loa,beam,holdsTotal,hatchesToNo,draughtMeters
9532094,2020-01-16 07:57:05+00:00,-20.09641167,118.5830783,1,32.02555556,23,27,Bulk Carrier,2010,174713,289.98,45,9,9,18.03
9778416,2019-12-06 23:58:03+00:00,-20.10679167,118.5664333,1,32.02583333,29,29,Bulk Carrier,2017,207672,299.88,50,9,9,18.5
9702699,2019-06-29 15:58:09+00:00,-20.10661,118.5079783,1,32.02861111,25,30,Bulk Carrier,2016,180940,292,45,9,9,18.3
9441934,2019-04-15 07:57:15+00:00,-20.09504167,118.5425217,1,32.02888889,29,18,Ore Carrier,2011,226434,319.58,54,9,9,18.12
9458377,2019-05-28 23:58:09+00:00,-20.1084,118.57475,1,32.02916667,26,29,Bulk Carrier,2010,179147,292,45,9,9,18.22
9731432,2019-09-05 07:56:24+00:00,-20.08412833,118.54252,1,32.02944444,14,23,Bulk Carrier,2017,207810,299.88,50,9,9,18.5
9756224,2019-08-23 15:57:29+00:00,-20.13972167,118.5426317,1,32.02944444,20,25,Bulk Carrier,2017,207721,299.98,50,9,9,18.5
9458690,2019-12-25 07:57:25+00:00,-20.098,118.54385,1,32.03027778,26,25,Bulk Carrier,2010,179719,292,45,9,9,17.92
9474022,2019-06-19 23:57:54+00:00,-20.11016667,118.5655,1,32.03027778,31,32,Ore Carrier,2011,228771,324.99,52.5,5,5,18.1
9459266,2019-09-05 07:57:19+00:00,-20.13666667,118.5423317,1,32.03416667,17,23,Product Carrier,2011,45931,181.53,32.2,,,12.17
9603386,2019-09-29 15:57:10+00:00,-20.117925,118.52745,1,32.03944444,30,28,Bulk Carrier,2012,207856,300,50,9,9,18.22
9712682,2019-06-27 07:57:03+00:00,-20.09554,118.5674883,1,32.04111111,33,29,Bulk Carrier,2015,209529,300,50,9,9,18.4
9451616,2019-06-10 07:57:07+00:00,-20.123015,118.5790317,1,32.04166667,26,30,Bulk Carrier,2009,179223,291.97,45,9,9,18.2
9307073,2019-08-26 23:57:02+00:00,-20.11732833,118.593335,1,32.04555556,15,27,Bulk Carrier,2006,173541,289,45,9,9,18.22
9500637,2019-12-06 15:57:13+00:00,-20.10751667,118.6371,1,32.04555556,26,30,Bulk Carrier,2009,180661,292,45,9,9,18.2
