,RecievedTime,FinishedRecievedTime,Latitude,Longitude,WaitTime,type,built,dwt,loa,beam,draughtMeters
95,2020-01-15 07:59:39+00:00,2020-01-23 23:59:45+00:00,54.04190500000001,7.454198333333332,208.0016666666667,Bulk Carrier,1984,65402,224.37,32.2,13.02
96,2020-02-11 23:58:46+00:00,2020-02-12 23:57:23+00:00,51.904235,1.6906766666666666,23.976944444444445,Bulk Carrier,1984,65402,224.37,32.2,13.02
97,2020-02-14 07:59:09+00:00,2020-02-18 23:59:44+00:00,51.50672333333333,0.8956833333333334,112.00972222222221,Bulk Carrier,1984,65402,224.37,32.2,13.02
98,2019-05-05 23:03:23+00:00,2019-05-08 23:56:10+00:00,43.19226333333334,-79.201955,72.87972222222223,Bulk Carrier,1983,36251,222.54,23.08,7.74
99,2019-05-22 15:47:21+00:00,2019-05-29 14:55:32+00:00,46.016385,-73.16883,167.13638888888892,Bulk Carrier,1983,36251,222.54,23.08,7.74
100,2019-08-22 15:58:10+00:00,2019-08-22 23:57:38+00:00,48.40961666666666,-89.16660333333333,7.991111111111111,Bulk Carrier,1983,36251,222.54,23.08,7.74
101,2019-12-01 07:58:50+00:00,2019-12-28 07:59:04+00:00,43.119868333333336,-82.34881666666666,648.0038888888888,Bulk Carrier,1983,36251,222.54,23.08,7.74
102,2019-03-26 15:57:12+00:00,2019-06-21 15:59:35+00:00,4.890133333333333,-1.6716666666666666,2088.0397222222227,Bulk Carrier,1985,63671,224.95,32.26,12.94
103,2019-03-26 15:49:53+00:00,2019-04-05 15:59:07+00:00,29.76835166666667,122.45095666666668,240.1538888888889,Bulk Carrier,1988,64944,224.0,32.2,13.12
104,2019-04-10 15:55:43+00:00,2019-04-12 07:53:44+00:00,27.85728,121.48041833333332,39.96694444444445,Bulk Carrier,1988,64944,224.0,32.2,13.12
105,2019-04-17 15:50:47+00:00,2019-04-21 15:58:12+00:00,38.36256333333333,118.34179333333331,96.12361111111113,Bulk Carrier,1988,64944,224.0,32.2,13.12
106,2019-04-25 15:57:06+00:00,2019-05-03 22:46:27+00:00,29.794965,122.433135,198.8225,Bulk Carrier,1988,64944,224.0,32.2,13.12
107,2019-05-13 15:18:50+00:00,2019-05-14 07:21:00+00:00,29.79961333333333,122.06538166666668,16.036111111111108,Bulk Carrier,1988,64944,224.0,32.2,13.12
108,2019-06-04 07:58:29+00:00,2019-06-07 07:55:16+00:00,29.79908833333333,122.06213333333334,71.94638888888889,Bulk Carrier,1988,64944,224.0,32.2,13.12
109,2019-06-08 23:57:04+00:00,2019-06-12 15:59:22+00:00,38.873718333333336,118.446225,88.03833333333333,Bulk Carrier,1988,64944,224.0,32.2,13.12
110,2019-06-17 23:58:11+00:00,2019-06-20 07:59:40+00:00,38.400595,118.287195,56.02472222222222,Bulk Carrier,1988,64944,224.0,32.2,13.12
111,2019-06-23 23:36:18+00:00,2019-06-26 07:57:57+00:00,31.36460666666667,122.45789666666668,56.36083333333333,Bulk Carrier,1988,64944,224.0,32.2,13.12
112,2019-07-01 07:54:39+00:00,2019-07-02 23:56:27+00:00,39.814295,119.819405,40.03,Bulk Carrier,1988,64944,224.0,32.2,13.12
113,2019-07-07 15:56:45+00:00,2019-07-08 15:55:09+00:00,29.79661833333333,122.454455,23.97333333333333,Bulk Carrier,1988,64944,224.0,32.2,13.12
114,2019-07-13 23:41:35+00:00,2019-07-14 07:56:29+00:00,39.029545,119.13937666666666,8.248333333333333,Bulk Carrier,1988,64944,224.0,32.2,13.12
115,2019-07-17 15:54:18+00:00,2019-07-26 15:57:40+00:00,30.798131666666666,122.57658833333332,216.0561111111111,Bulk Carrier,1988,64944,224.0,32.2,13.12
116,2019-07-30 07:58:23+00:00,2019-08-03 15:55:05+00:00,39.765155,119.81162,103.945,Bulk Carrier,1988,64944,224.0,32.2,13.12
117,2019-08-05 23:59:29+00:00,2019-08-11 15:59:10+00:00,36.74190166666666,122.57007833333333,135.9947222222222,Bulk Carrier,1988,64944,224.0,32.2,13.12
118,2019-08-21 15:58:01+00:00,2019-08-22 07:59:56+00:00,29.66111833333333,122.34190166666669,16.031944444444445,Bulk Carrier,1988,64944,224.0,32.2,13.12
119,2019-08-27 07:57:33+00:00,2019-08-27 15:57:01+00:00,38.904825,118.32781833333334,7.991111111111111,Bulk Carrier,1988,64944,224.0,32.2,13.12
120,2019-08-29 23:57:25+00:00,2019-09-16 23:56:20+00:00,38.89492333333333,118.572365,431.98194444444437,Bulk Carrier,1988,64944,224.0,32.2,13.12
121,2019-09-20 15:59:32+00:00,2019-09-23 07:53:25+00:00,30.82468666666667,122.55809166666668,63.898055555555565,Bulk Carrier,1988,64944,224.0,32.2,13.12
122,2019-09-29 07:58:38+00:00,2019-09-29 23:56:31+00:00,39.011233333333344,119.12738833333331,15.964722222222226,Bulk Carrier,1988,64944,224.0,32.2,13.12
123,2019-10-01 23:50:45+00:00,2019-10-05 07:58:49+00:00,36.840555,122.68945666666669,80.13444444444444,Bulk Carrier,1988,64944,224.0,32.2,13.12
124,2019-10-09 07:58:26+00:00,2019-10-11 07:57:01+00:00,38.347393333333336,118.38843666666666,47.97638888888889,Bulk Carrier,1988,64944,224.0,32.2,13.12
125,2019-10-14 23:58:13+00:00,2019-10-16 07:26:32+00:00,29.82276833333333,122.50673166666668,31.471944444444446,Bulk Carrier,1988,64944,224.0,32.2,13.12
126,2019-10-19 23:26:46+00:00,2019-11-05 14:37:44+00:00,39.008135,119.109815,399.1827777777778,Bulk Carrier,1988,64944,224.0,32.2,13.12
127,2019-11-10 07:50:48+00:00,2019-11-14 22:28:21+00:00,29.801445,122.48587833333332,110.62583333333332,Bulk Carrier,1988,64944,224.0,32.2,13.12
128,2019-11-17 15:56:41+00:00,2019-11-18 15:54:00+00:00,39.83712666666667,119.856515,23.955277777777773,Bulk Carrier,1988,64944,224.0,32.2,13.12
129,2019-11-22 15:56:35+00:00,2019-11-27 07:58:15+00:00,29.811081666666666,122.50638333333332,112.02777777777777,Bulk Carrier,1988,64944,224.0,32.2,13.12
130,2019-12-06 23:44:32+00:00,2019-12-08 23:58:48+00:00,38.374525,118.38543166666666,48.23777777777778,Bulk Carrier,1988,64944,224.0,32.2,13.12
131,2019-12-13 07:53:53+00:00,2019-12-19 23:55:09+00:00,29.665205,122.32994333333332,160.02111111111108,Bulk Carrier,1988,64944,224.0,32.2,13.12
132,2019-12-23 23:53:59+00:00,2019-12-24 15:54:29+00:00,39.79701,119.81905166666668,16.008333333333333,Bulk Carrier,1988,64944,224.0,32.2,13.12
133,2019-12-28 15:57:00+00:00,2019-12-29 03:30:00+00:00,29.66384833333333,122.37390333333332,11.55,Bulk Carrier,1988,64944,224.0,32.2,13.12
134,2020-01-04 23:56:12+00:00,2020-01-17 23:19:56+00:00,39.81981833333333,119.838105,311.39555555555563,Bulk Carrier,1988,64944,224.0,32.2,13.12
135,2020-01-21 23:58:29+00:00,2020-01-24 15:18:24+00:00,38.95180333333333,118.12694833333332,63.33194444444445,Bulk Carrier,1988,64944,224.0,32.2,13.12
